MaterialNr,SerialNr,CheckMode,TestSystem,Description,Date,Time,Error,ErrorCat,Duration,Duration.1,col_11,col_12,col_13
MatNr1,1001,PrMod1,TSys32,AB-1CD-6,28.11.2023,16:43:47,OK,OK,00:02:34,00:02:34,0.2,29.0,23.0
MatNr1,1002,PrMod4,TSys32,AB-1CD-6,28.11.2023,17:09:06,OK,OK,00:01:24,00:01:24,0.9,50.0,22.0
MatNr1,1003,PrMod2,TSys54,AB-1CD-8,28.11.2023,17:32:22,OK,OK,00:02:10,00:02:10,0.6,25.0,15.0
MatNr3,1004,PrMod2,TSys54,AB-3CD-0,28.11.2023,17:56:22,Angel_to_low,Tolerance_violence,00:02:11,00:02:11,73.0,9.0,26.0
MatNr1,1005,PrMod3,TSys54,AB-1CD-3,28.11.2023,18:19:40,OK,OK,00:01:22,00:01:22,-0.21,86.0,16.0
MatNr2,1006,PrMod2,TSys32,AB-2CD-3,28.11.2023,18:40:50,OK,OK,00:01:50,00:01:50,97.0,31.0,25.0
MatNr2,1007,PrMod4,TSys27,AB-2CD-9,28.11.2023,19:02:20,OK,OK,00:01:51,00:01:51,0.3,81.0,16.0
MatNr1,1008,PrMod2,TSys32,AB-1CD-9,28.11.2023,19:21:10,OK,OK,00:02:16,00:02:16,1.0,66.0,17.0
MatNr1,1009,PrMod3,TSys32,AB-1CD-5,28.11.2023,19:43:04,OK,OK,00:01:41,00:01:41,1.0,28.0,26.0
MatNr2,1010,PrMod1,TSys32,AB-2CD-9,28.11.2023,20:05:01,OK,OK,00:02:18,00:02:18,70.0,81.0,21.0
MatNr1,1011,PrMod2,TSys54,AB-1CD-1,28.11.2023,20:28:01,OK,OK,00:01:58,00:01:58,1.0,18.0,13.0
MatNr2,1012,PrMod1,TSys27,AB-2CD-0,28.11.2023,20:54:38,OK,OK,00:01:41,00:01:41,75.0,22.0,18.0
MatNr3,1013,PrMod1,TSys32,AB-3CD-3,28.11.2023,21:20:44,OK,OK,00:02:02,00:02:02,0.2,76.0,21.0
MatNr3,1014,PrMod1,TSys27,AB-3CD-6,28.11.2023,21:43:07,OK,OK,00:02:10,00:02:10,78.0,10.0,24.0
MatNr2,1015,PrMod2,TSys27,AB-2CD-7,28.11.2023,22:10:54,OK,OK,00:01:56,00:01:56,0.5,70.0,17.09
MatNr1,1016,PrMod3,TSys54,AB-1CD-5,28.11.2023,22:33:41,OK,OK,00:02:11,00:02:11,98.0,45.0,14.0
MatNr2,1017,PrMod4,TSys32,AB-2CD-1,28.11.2023,22:56:54,OK,OK,00:02:24,00:02:24,1.5000000000000002,74.0,26.0
MatNr3,1018,PrMod4,TSys54,AB-3CD-7,28.11.2023,23:23:46,OK,OK,00:02:06,00:02:06,84.0,79.0,16.0
MatNr3,1019,PrMod2,TSys32,AB-3CD-0,28.11.2023,23:49:00,OK,OK,00:01:57,00:01:57,0.5,6.0,29.0
MatNr1,1020,PrMod3,TSys27,AB-1CD-9,29.11.2023,00:11:35,OK,OK,00:01:46,00:01:46,73.0,71.0,15.0
MatNr1,1021,PrMod4,TSys27,AB-1CD-1,29.11.2023,00:36:00,OK,OK,00:02:08,00:02:08,86.0,36.0,21.0
MatNr1,1022,PrMod2,TSys32,AB-1CD-9,29.11.2023,01:00:20,OK,OK,00:02:20,00:02:20,0.4,18.0,26.0
MatNr2,1023,PrMod1,TSys27,AB-2CD-1,29.11.2023,01:24:00,OK,OK,00:01:46,00:01:46,1.5000000000000002,35.0,18.59
MatNr3,1024,PrMod2,TSys27,AB-3CD-4,29.11.2023,01:49:58,OK,OK,00:01:42,00:01:42,97.0,7.0,21.0
MatNr1,1025,PrMod3,TSys54,AB-1CD-9,29.11.2023,02:13:10,OK,OK,00:02:11,00:02:11,0.4,53.0,6.0
MatNr1,1026,PrMod1,TSys27,AB-1CD-2,29.11.2023,02:36:30,OK,OK,00:01:35,00:01:35,82.0,54.0,5.0
MatNr2,1027,PrMod3,TSys27,AB-2CD-6,29.11.2023,03:00:07,OK,OK,00:01:59,00:01:59,86.0,38.0,8.35
MatNr2,1028,PrMod4,TSys27,AB-2CD-7,29.11.2023,03:25:40,OK,OK,00:02:04,00:02:04,97.0,13.0,28.0
MatNr3,1029,PrMod4,TSys54,AB-3CD-0,29.11.2023,03:46:40,OK,OK,00:01:17,00:01:17,82.0,-235.86,22.0
MatNr3,1030,PrMod3,TSys32,AB-3CD-7,29.11.2023,04:09:00,OK,OK,00:01:44,00:01:44,1.0,23.0,20.0
MatNr2,1031,PrMod1,TSys27,AB-2CD-1,29.11.2023,04:33:11,OK,OK,00:02:06,00:02:06,89.0,9.0,-4.04
MatNr3,1032,PrMod2,TSys27,AB-3CD-9,29.11.2023,04:53:55,OK,OK,00:01:45,00:01:45,0.3,58.0,15.0
MatNr3,1033,PrMod4,TSys54,AB-3CD-3,29.11.2023,05:22:15,OK,OK,00:02:29,00:02:29,0.9,98.0,17.0
MatNr2,1034,PrMod3,TSys54,AB-2CD-0,29.11.2023,05:45:44,OK,OK,00:02:01,00:02:01,86.0,34.0,23.0
MatNr3,1035,PrMod4,TSys32,AB-3CD-8,29.11.2023,06:08:36,OK,OK,00:02:05,00:02:05,70.0,45.0,-19.72
MatNr3,1036,PrMod1,TSys54,AB-3CD-4,29.11.2023,06:29:42,OK,OK,00:01:45,00:01:45,91.0,56.0,14.0
MatNr3,1037,PrMod2,TSys54,AB-3CD-1,29.11.2023,06:54:45,OK,OK,00:02:08,00:02:08,70.0,90.0,20.0
MatNr2,1038,PrMod1,TSys32,AB-2CD-1,29.11.2023,07:19:24,OK,OK,00:02:12,00:02:12,90.0,33.0,14.0
MatNr1,1039,PrMod1,TSys32,AB-1CD-0,29.11.2023,07:43:23,OK,OK,00:01:52,00:01:52,77.0,70.0,6.0
MatNr3,1040,PrMod3,TSys54,AB-3CD-2,29.11.2023,08:09:09,OK,OK,00:02:03,00:02:03,97.0,22.0,16.0
MatNr1,1041,PrMod2,TSys32,AB-1CD-4,29.11.2023,08:32:38,OK,OK,00:02:14,00:02:14,0.7000000000000001,34.0,25.0
MatNr1,1042,PrMod3,TSys54,AB-1CD-9,29.11.2023,08:58:18,OK,OK,00:01:37,00:01:37,90.0,21.0,10.0
MatNr1,1043,PrMod4,TSys32,AB-1CD-4,29.11.2023,09:25:32,OK,OK,00:01:55,00:01:55,0.4,30.0,10.0
MatNr3,1044,PrMod4,TSys54,AB-3CD-1,29.11.2023,09:50:22,OK,OK,00:01:45,00:01:45,94.0,81.0,15.0
MatNr2,1045,PrMod1,TSys32,AB-2CD-2,29.11.2023,10:10:22,OK,OK,00:01:30,00:01:30,77.0,1.0,9.0
MatNr1,1046,PrMod2,TSys27,AB-1CD-2,29.11.2023,10:33:38,OK,OK,00:02:02,00:02:02,86.0,55.0,7.0
MatNr2,1047,PrMod2,TSys27,AB-2CD-6,29.11.2023,10:56:31,OK,OK,00:02:35,00:02:35,0.1,50.0,23.0
MatNr3,1048,PrMod1,TSys54,AB-3CD-8,29.11.2023,11:20:21,OK,OK,00:01:07,00:01:07,1.4,30.0,16.0
MatNr3,1048,PrMod1,TSys54,AB-3CD-8,29.11.2023,11:24:06,OK,OK,00:01:53,00:01:53,1.4,30.0,16.0
MatNr3,1049,PrMod4,TSys27,AB-3CD-2,29.11.2023,11:47:31,OK,OK,00:02:23,00:02:23,0.6,32.0,8.0
MatNr3,1050,PrMod2,TSys32,AB-3CD-6,29.11.2023,12:11:49,OK,OK,00:01:50,00:01:50,0.7000000000000001,47.0,27.0
MatNr2,1051,PrMod1,TSys54,AB-2CD-0,29.11.2023,12:35:55,OK,OK,00:02:55,00:02:55,83.0,54.0,17.0
MatNr3,1052,PrMod3,TSys54,AB-3CD-2,29.11.2023,13:00:23,OK,OK,00:01:19,00:01:19,81.0,16.0,23.0
MatNr3,1053,PrMod3,TSys54,AB-3CD-5,29.11.2023,13:24:47,OK,OK,00:02:03,00:02:03,98.0,79.0,10.0
MatNr1,1054,PrMod4,TSys54,AB-1CD-1,29.11.2023,13:54:07,OK,OK,00:02:40,00:02:40,71.0,24.0,25.0
MatNr3,1055,PrMod3,TSys54,AB-3CD-9,29.11.2023,14:14:26,OK,OK,00:02:15,00:02:15,97.0,88.0,14.0
MatNr1,1056,PrMod1,TSys27,AB-1CD-8,29.11.2023,14:39:15,OK,OK,00:01:57,00:01:57,82.0,6.0,5.0
MatNr3,1057,PrMod2,TSys32,AB-3CD-3,29.11.2023,15:04:45,OK,OK,00:02:43,00:02:43,86.0,87.0,17.0
MatNr3,1058,PrMod3,TSys54,AB-3CD-5,29.11.2023,15:28:14,OK,OK,00:01:37,00:01:37,95.0,-105.83,22.0
MatNr3,1059,PrMod4,TSys54,AB-3CD-9,29.11.2023,15:51:15,OK,OK,00:02:32,00:02:32,0.3,15.0,28.0
MatNr1,1060,PrMod1,TSys27,AB-1CD-2,29.11.2023,16:16:18,OK,OK,00:02:12,00:02:12,0.3,63.0,24.0
