SerialNr,MaterialNr_x,CheckMode_x,TestSystem_x,Description_x,Date_x,Time_x,Error_x,ErrorCat_x,Duration_x,Duration.1_x,col_11,col_12,col_13,MaterialNr_y,CheckMode_y,TestSystem_y,Description_y,Date_y,Time_y,Error_y,ErrorCat_y,Duration_y,Duration.1_y,col_21,col_22,col_23,MaterialNr,CheckMode,TestSystem,Description,Date,Time,Error,ErrorCat,Duration,Duration.1,col_31
1001,MatNr1,PrMod1,TSys32,AB-1CD-6,28.11.2023,16:43:47,OK,OK,00:02:34,00:02:34,0.2,29.0,23.0,MatNr1,PrMod2,TSys27,AB-1CD-8,28.11.2023,16:50:16,OK,OK,00:02:21,00:02:21,45.0,9.299999999999992,2.0,MatNr1,PrMod3,TSys54,AB-3CD-9,28.11.2023,16:55:13,OK,OK,00:01:51,00:01:51,0.0
1002,MatNr1,PrMod4,TSys32,AB-1CD-6,28.11.2023,17:09:06,OK,OK,00:01:24,00:01:24,0.9,50.0,22.0,MatNr1,PrMod3,TSys54,AB-1CD-9,28.11.2023,17:13:48,OK,OK,00:01:41,00:01:41,40.0,17.59999999999999,2.0,MatNr1,PrMod2,TSys27,AB-2CD-4,28.11.2023,17:19:29,OK,OK,00:01:39,00:01:39,0.0
1003,MatNr1,PrMod2,TSys54,AB-1CD-8,28.11.2023,17:32:22,OK,OK,00:02:10,00:02:10,0.6,25.0,15.0,MatNr1,PrMod3,TSys32,AB-2CD-3,28.11.2023,17:38:49,OK,OK,00:01:51,00:01:51,50.0,18.599999999999987,1.0,MatNr1,PrMod1,TSys54,AB-3CD-5,28.11.2023,17:43:53,OK,OK,00:01:52,00:01:52,0.0
1004,MatNr3,PrMod2,TSys54,AB-3CD-0,28.11.2023,17:56:22,Angel_to_low,Tolerance_violence,00:02:11,00:02:11,73.0,9.0,26.0,MatNr3,PrMod1,TSys54,AB-2CD-6,28.11.2023,18:01:18,OK,OK,00:01:48,00:01:48,47.0,15.599999999999998,0.0,MatNr3,PrMod2,TSys54,AB-3CD-8,28.11.2023,18:05:33,Angel_to_low,Tolerance_violence,00:01:58,00:01:58,-0.0
1005,MatNr1,PrMod3,TSys54,AB-1CD-3,28.11.2023,18:19:40,OK,OK,00:01:22,00:01:22,-0.21,86.0,16.0,MatNr1,PrMod4,TSys27,AB-1CD-1,28.11.2023,18:23:01,OK,OK,00:01:19,00:01:19,68.0,16.099999999999994,1.0,MatNr1,PrMod2,TSys27,AB-2CD-6,28.11.2023,18:27:50,System_issue,System_error,00:01:41,00:01:41,0.0
1006,MatNr2,PrMod2,TSys32,AB-2CD-3,28.11.2023,18:40:50,OK,OK,00:01:50,00:01:50,97.0,31.0,25.0,MatNr2,PrMod2,TSys27,AB-2CD-3,28.11.2023,18:45:54,OK,OK,00:02:03,00:02:03,48.0,8.799999999999994,0.0,MatNr2,PrMod4,TSys54,AB-1CD-7,28.11.2023,18:51:09,OK,OK,00:01:54,00:01:54,-0.0
1007,MatNr2,PrMod4,TSys27,AB-2CD-9,28.11.2023,19:02:20,OK,OK,00:01:51,00:01:51,0.3,81.0,16.0,MatNr2,PrMod3,TSys54,AB-3CD-4,28.11.2023,19:06:10,OK,OK,00:02:15,00:02:15,64.0,9.099999999999993,2.0,MatNr2,PrMod1,TSys32,AB-1CD-3,28.11.2023,19:10:13,OK,OK,00:01:37,00:01:37,0.0
1008,MatNr1,PrMod2,TSys32,AB-1CD-9,28.11.2023,19:21:10,OK,OK,00:02:16,00:02:16,1.0,66.0,17.0,MatNr1,PrMod4,TSys54,AB-2CD-1,28.11.2023,19:26:56,OK,OK,00:02:07,00:02:07,53.0,8.499999999999995,2.0,MatNr1,PrMod4,TSys54,AB-1CD-9,28.11.2023,19:32:12,OK,OK,00:02:04,00:02:04,0.0
1009,MatNr1,PrMod3,TSys32,AB-1CD-5,28.11.2023,19:43:04,OK,OK,00:01:41,00:01:41,1.0,28.0,26.0,MatNr1,PrMod2,TSys32,AB-2CD-7,28.11.2023,19:46:09,OK,OK,00:02:13,00:02:13,55.0,19.499999999999982,0.0,MatNr1,PrMod1,TSys54,AB-3CD-7,28.11.2023,19:53:04,OK,OK,00:02:13,00:02:13,0.0
1010,MatNr2,PrMod1,TSys32,AB-2CD-9,28.11.2023,20:05:01,OK,OK,00:02:18,00:02:18,70.0,81.0,21.0,MatNr2,PrMod2,TSys54,AB-1CD-8,28.11.2023,20:11:31,OK,OK,00:02:28,00:02:28,44.0,9.89999999999999,1.0,MatNr2,PrMod4,TSys27,AB-3CD-8,28.11.2023,20:15:54,OK,OK,00:01:52,00:01:52,-0.0
