MaterialNr,SerialNr,CheckMode,TestSystem,Description,Date,Time,Error,ErrorCat,Duration,Duration.1,col_21,col_22,col_23
MatNr1,1001,PrMod2,TSys27,AB-1CD-8,28.11.2023,16:50:16,OK,OK,00:02:21,00:02:21,45.0,9.299999999999992,2.0
MatNr1,1002,PrMod3,TSys54,AB-1CD-9,28.11.2023,17:13:48,OK,OK,00:01:41,00:01:41,40.0,17.59999999999999,2.0
MatNr1,1003,PrMod3,TSys32,AB-2CD-3,28.11.2023,17:38:49,OK,OK,00:01:51,00:01:51,50.0,18.599999999999987,1.0
MatNr3,1004,PrMod1,TSys54,AB-2CD-6,28.11.2023,18:01:18,OK,OK,00:01:48,00:01:48,47.0,15.599999999999998,0.0
MatNr1,1005,PrMod4,TSys27,AB-1CD-1,28.11.2023,18:23:01,OK,OK,00:01:19,00:01:19,68.0,16.099999999999994,1.0
MatNr2,1006,PrMod2,TSys27,AB-2CD-3,28.11.2023,18:45:54,OK,OK,00:02:03,00:02:03,48.0,8.799999999999994,0.0
MatNr2,1007,PrMod3,TSys54,AB-3CD-4,28.11.2023,19:06:10,OK,OK,00:02:15,00:02:15,64.0,9.099999999999993,2.0
MatNr1,1008,PrMod4,TSys54,AB-2CD-1,28.11.2023,19:26:56,OK,OK,00:02:07,00:02:07,53.0,8.499999999999995,2.0
MatNr1,1009,PrMod2,TSys32,AB-2CD-7,28.11.2023,19:46:09,OK,OK,00:02:13,00:02:13,55.0,19.499999999999982,0.0
MatNr2,1010,PrMod2,TSys54,AB-1CD-8,28.11.2023,20:11:31,OK,OK,00:02:28,00:02:28,44.0,9.89999999999999,1.0
MatNr1,1011,PrMod2,TSys27,AB-1CD-6,28.11.2023,20:32:51,OK,OK,00:02:30,00:02:30,42.0,19.599999999999984,1.0
MatNr2,1012,PrMod2,TSys27,AB-2CD-3,28.11.2023,20:59:40,OK,OK,00:01:48,00:01:48,64.0,8.399999999999995,1.0
MatNr3,1013,PrMod3,TSys54,AB-3CD-4,28.11.2023,21:26:26,OK,OK,00:01:46,00:01:46,56.0,19.099999999999987,1.0
MatNr3,1014,PrMod1,TSys27,AB-1CD-8,28.11.2023,21:49:25,OK,OK,00:01:54,00:01:54,63.0,9.299999999999992,0.0
MatNr2,1015,PrMod1,TSys27,AB-1CD-4,28.11.2023,22:15:56,OK,OK,00:01:46,00:01:46,59.0,8.399999999999995,1.0
MatNr1,1016,PrMod3,TSys27,AB-3CD-7,28.11.2023,22:39:37,OK,OK,00:01:43,00:01:43,47.0,7.9999999999999964,1.0
MatNr2,1017,PrMod3,TSys27,AB-1CD-3,28.11.2023,23:02:22,OK,OK,00:01:49,00:01:49,54.0,17.89999999999999,0.0
MatNr2,1017,PrMod3,TSys27,AB-1CD-3,28.11.2023,23:07:12,angel_to_wide,Tolerance_violence,00:01:56,00:01:56,54.0,17.89999999999999,0.0
MatNr3,1018,PrMod1,TSys54,AB-2CD-3,28.11.2023,23:28:43,OK,OK,00:01:22,00:01:22,54.0,7.499999999999998,-4.05
MatNr3,1019,PrMod1,TSys27,AB-3CD-4,28.11.2023,23:53:42,OK,OK,00:02:27,00:02:27,53.0,7.0,2.0
MatNr1,1020,PrMod4,TSys32,AB-2CD-6,29.11.2023,00:15:27,OK,OK,00:02:06,00:02:06,65.0,15.599999999999998,1.0
