MaterialNr,SerialNr,CheckMode,TestSystem,Description,Date,Time,Error,ErrorCat,Duration,Duration.1,col_31
MatNr1,1001,PrMod3,TSys54,AB-3CD-9,28.11.2023,16:55:13,OK,OK,00:01:51,00:01:51,0.0
MatNr1,1002,PrMod2,TSys27,AB-2CD-4,28.11.2023,17:19:29,OK,OK,00:01:39,00:01:39,0.0
MatNr1,1003,PrMod1,TSys54,AB-3CD-5,28.11.2023,17:43:53,OK,OK,00:01:52,00:01:52,0.0
MatNr3,1004,PrMod2,TSys54,AB-3CD-8,28.11.2023,18:05:33,Angel_to_low,Tolerance_violence,00:01:58,00:01:58,-0.0
MatNr1,1005,PrMod2,TSys27,AB-2CD-6,28.11.2023,18:27:50,System_issue,System_error,00:01:41,00:01:41,0.0
MatNr2,1006,PrMod4,TSys54,AB-1CD-7,28.11.2023,18:51:09,OK,OK,00:01:54,00:01:54,-0.0
MatNr2,1007,PrMod1,TSys32,AB-1CD-3,28.11.2023,19:10:13,OK,OK,00:01:37,00:01:37,0.0
MatNr1,1008,PrMod4,TSys54,AB-1CD-9,28.11.2023,19:32:12,OK,OK,00:02:04,00:02:04,0.0
MatNr1,1009,PrMod1,TSys54,AB-3CD-7,28.11.2023,19:53:04,OK,OK,00:02:13,00:02:13,0.0
MatNr2,1010,PrMod4,TSys27,AB-3CD-8,28.11.2023,20:15:54,OK,OK,00:01:52,00:01:52,-0.0
MatNr1,1011,PrMod1,TSys54,AB-3CD-7,28.11.2023,20:39:18,angel_to_wide,Tolerance_violence,00:01:46,00:01:46,0.0
MatNr2,1012,PrMod1,TSys32,AB-3CD-1,28.11.2023,21:04:54,OK,OK,00:02:29,00:02:29,0.0
MatNr3,1013,PrMod1,TSys32,AB-3CD-2,28.11.2023,21:28:49,Angel_to_low,Tolerance_violence,00:02:02,00:02:02,0.0
MatNr3,1014,PrMod2,TSys32,AB-1CD-7,28.11.2023,21:55:09,OK,OK,00:02:10,00:02:10,0.0
MatNr2,1015,PrMod1,TSys32,AB-3CD-8,28.11.2023,22:21:39,OK,OK,00:01:49,00:01:49,0.0
MatNr1,1016,PrMod4,TSys32,AB-1CD-8,28.11.2023,22:43:42,OK,OK,00:02:12,00:02:12,0.0
MatNr2,1017,PrMod3,TSys54,AB-1CD-2,28.11.2023,23:12:12,angel_to_wide,Tolerance_violence,00:01:26,00:01:26,0.0
MatNr3,1018,PrMod3,TSys27,AB-3CD-6,28.11.2023,23:32:46,OK,OK,00:02:04,00:02:04,0.0
MatNr3,1019,PrMod2,TSys27,AB-1CD-9,28.11.2023,23:58:28,OK,OK,00:02:26,00:02:26,0.0
MatNr1,1020,PrMod3,TSys27,AB-2CD-4,29.11.2023,00:20:45,OK,OK,00:01:54,00:01:54,0.0
MatNr1,1021,PrMod3,TSys27,AB-2CD-1,29.11.2023,00:47:18,OK,OK,00:01:46,00:01:46,0.0
MatNr1,1022,PrMod3,TSys54,AB-2CD-0,29.11.2023,01:10:47,OK,OK,00:01:58,00:01:58,0.0
MatNr2,1023,PrMod2,TSys32,AB-1CD-7,29.11.2023,01:36:11,OK,OK,00:01:21,00:01:21,0.0
MatNr3,1024,PrMod2,TSys27,AB-3CD-2,29.11.2023,01:59:34,OK,OK,00:02:03,00:02:03,0.0
MatNr1,1025,PrMod4,TSys27,AB-2CD-9,29.11.2023,02:23:37,angel_to_wide,Tolerance_violence,00:02:05,00:02:05,0.0
MatNr1,1026,PrMod2,TSys32,AB-2CD-6,29.11.2023,02:47:19,OK,OK,00:02:06,00:02:06,0.0
MatNr2,1027,PrMod2,TSys54,AB-3CD-9,29.11.2023,03:12:29,OK,OK,00:01:58,00:01:58,0.0
MatNr2,1028,PrMod4,TSys54,AB-3CD-7,29.11.2023,03:33:45,OK,OK,00:01:22,00:01:22,0.0
MatNr3,1029,PrMod1,TSys32,AB-1CD-0,29.11.2023,03:55:57,OK,OK,00:02:03,00:02:03,0.0
MatNr3,1030,PrMod2,TSys54,AB-2CD-6,29.11.2023,04:20:07,OK,OK,00:01:27,00:01:27,0.0
MatNr2,1031,PrMod4,TSys54,AB-3CD-1,29.11.2023,04:42:15,OK,OK,00:01:50,00:01:50,0.0
MatNr3,1032,PrMod3,TSys54,AB-1CD-4,29.11.2023,05:03:28,System_issue,System_error,00:02:10,00:02:10,0.0
MatNr3,1032,PrMod3,TSys54,AB-1CD-4,29.11.2023,05:09:22,System_issue,System_error,00:01:52,00:01:52,0.0
MatNr3,1033,PrMod3,TSys54,AB-3CD-6,29.11.2023,05:33:08,OK,OK,00:02:00,00:02:00,0.0
MatNr2,1034,PrMod1,TSys27,AB-3CD-5,29.11.2023,05:56:52,OK,OK,00:01:37,00:01:37,0.0
MatNr3,1035,PrMod3,TSys27,AB-2CD-7,29.11.2023,06:15:55,OK,OK,00:01:46,00:01:46,0.0
MatNr3,1036,PrMod1,TSys54,AB-3CD-9,29.11.2023,06:39:31,OK,OK,00:02:23,00:02:23,0.0
MatNr3,1037,PrMod2,TSys32,AB-3CD-0,29.11.2023,07:05:00,OK,OK,00:02:01,00:02:01,0.0
MatNr2,1038,PrMod2,TSys27,AB-1CD-7,29.11.2023,07:30:51,OK,OK,00:02:05,00:02:05,0.0
MatNr1,1039,PrMod4,TSys27,AB-1CD-4,29.11.2023,07:54:59,OK,OK,00:02:00,00:02:00,0.0
MatNr3,1040,PrMod1,TSys32,AB-1CD-5,29.11.2023,08:19:15,OK,OK,00:01:36,00:01:36,0.0
MatNr1,1041,PrMod3,TSys27,AB-3CD-6,29.11.2023,08:43:05,OK,OK,00:02:36,00:02:36,0.0
MatNr1,1042,PrMod4,TSys54,AB-1CD-9,29.11.2023,09:10:28,OK,OK,00:02:07,00:02:07,0.0
MatNr1,1043,PrMod2,TSys54,AB-1CD-1,29.11.2023,09:37:05,OK,OK,00:01:45,00:01:45,0.0
MatNr3,1044,PrMod4,TSys54,AB-3CD-0,29.11.2023,09:58:35,OK,OK,00:02:11,00:02:11,0.0
MatNr2,1045,PrMod4,TSys32,AB-2CD-9,29.11.2023,10:18:25,OK,OK,00:02:45,00:02:45,0.0
MatNr1,1046,PrMod3,TSys27,AB-1CD-5,29.11.2023,10:43:53,OK,OK,00:02:27,00:02:27,0.0
MatNr2,1047,PrMod1,TSys32,AB-2CD-6,29.11.2023,11:07:07,OK,OK,00:02:20,00:02:20,0.0
MatNr3,1048,PrMod4,TSys27,AB-1CD-8,29.11.2023,11:33:58,Angel_to_low,Tolerance_violence,00:02:05,00:02:05,0.0
MatNr3,1049,PrMod2,TSys32,AB-2CD-8,29.11.2023,11:57:25,OK,OK,00:01:54,00:01:54,0.0
MatNr3,1050,PrMod3,TSys54,AB-3CD-1,29.11.2023,12:22:05,OK,OK,00:02:05,00:02:05,0.0
MatNr2,1051,PrMod1,TSys27,AB-3CD-5,29.11.2023,12:46:10,OK,OK,00:02:06,00:02:06,0.0
MatNr3,1052,PrMod4,TSys27,AB-3CD-3,29.11.2023,13:11:29,OK,OK,00:01:33,00:01:33,-0.0
MatNr3,1053,PrMod3,TSys54,AB-2CD-2,29.11.2023,13:41:56,angel_to_wide,Tolerance_violence,00:01:46,00:01:46,0.0
MatNr1,1054,PrMod3,TSys27,AB-1CD-0,29.11.2023,14:03:31,Angel_to_low,Tolerance_violence,00:01:59,00:01:59,0.0
MatNr3,1055,PrMod2,TSys32,AB-1CD-7,29.11.2023,14:25:07,OK,OK,00:01:39,00:01:39,0.0
MatNr1,1056,PrMod1,TSys32,AB-2CD-9,29.11.2023,14:49:25,System_issue,System_error,00:02:14,00:02:14,0.0
MatNr3,1057,PrMod2,TSys27,AB-3CD-1,29.11.2023,15:15:16,OK,OK,00:01:27,00:01:27,0.0
MatNr3,1058,PrMod1,TSys32,AB-2CD-7,29.11.2023,15:38:58,OK,OK,00:02:06,00:02:06,0.0
MatNr3,1059,PrMod1,TSys54,AB-3CD-6,29.11.2023,16:01:48,OK,OK,00:01:31,00:01:31,0.0
MatNr1,1060,PrMod1,TSys27,AB-2CD-2,29.11.2023,16:25:30,angel_to_wide,Tolerance_violence,00:01:39,00:01:39,0.0
MatNr2,1061,PrMod1,TSys27,AB-1CD-6,29.11.2023,16:49:52,OK,OK,00:02:14,00:02:14,0.0
MatNr2,1062,PrMod4,TSys27,AB-3CD-6,29.11.2023,17:16:24,System_issue,System_error,00:02:15,00:02:15,-0.0
MatNr3,1063,PrMod4,TSys54,AB-3CD-5,29.11.2023,17:37:28,OK,OK,00:02:26,00:02:26,0.0
MatNr2,1064,PrMod1,TSys27,AB-2CD-7,29.11.2023,18:00:49,OK,OK,00:02:21,00:02:21,0.0
MatNr2,1065,PrMod1,TSys32,AB-3CD-8,29.11.2023,18:27:43,angel_to_wide,Tolerance_violence,00:01:41,00:01:41,0.0
MatNr1,1066,PrMod2,TSys54,AB-3CD-7,29.11.2023,18:50:43,OK,OK,00:02:16,00:02:16,0.0
MatNr1,1067,PrMod2,TSys27,AB-2CD-4,29.11.2023,19:12:46,OK,OK,00:01:47,00:01:47,0.0
MatNr2,1068,PrMod1,TSys32,AB-3CD-3,29.11.2023,19:37:43,OK,OK,00:02:08,00:02:08,0.0
MatNr2,1069,PrMod2,TSys54,AB-2CD-8,29.11.2023,20:02:07,System_issue,System_error,00:02:39,00:02:39,0.0
MatNr3,1070,PrMod3,TSys32,AB-3CD-4,29.11.2023,20:26:17,OK,OK,00:01:52,00:01:52,0.0
MatNr2,1071,PrMod2,TSys27,AB-1CD-6,29.11.2023,20:51:28,OK,OK,00:02:02,00:02:02,0.0
MatNr3,1072,PrMod2,TSys27,AB-1CD-0,29.11.2023,21:13:39,OK,OK,00:01:48,00:01:48,0.0
MatNr1,1073,PrMod2,TSys54,AB-1CD-1,29.11.2023,21:36:06,OK,OK,00:02:19,00:02:19,0.0
MatNr1,1074,PrMod1,TSys32,AB-3CD-1,29.11.2023,21:58:57,OK,OK,00:02:32,00:02:32,0.0
MatNr1,1075,PrMod4,TSys54,AB-2CD-3,29.11.2023,22:23:33,OK,OK,00:01:43,00:01:43,-0.0
MatNr3,1076,PrMod3,TSys54,AB-1CD-7,29.11.2023,22:48:56,Angel_to_low,Tolerance_violence,00:02:02,00:02:02,-0.0
MatNr2,1077,PrMod2,TSys54,AB-1CD-0,29.11.2023,23:13:11,OK,OK,00:01:57,00:01:57,0.0
MatNr1,1078,PrMod1,TSys32,AB-2CD-8,29.11.2023,23:34:27,OK,OK,00:01:59,00:01:59,0.0
MatNr1,1079,PrMod4,TSys54,AB-2CD-8,30.11.2023,00:00:27,OK,OK,00:01:54,00:01:54,0.0
MatNr3,1080,PrMod1,TSys54,AB-3CD-6,30.11.2023,00:22:29,OK,OK,00:01:44,00:01:44,0.0
MatNr1,1081,PrMod3,TSys54,AB-3CD-1,30.11.2023,00:46:03,OK,OK,00:02:30,00:02:30,0.0
MatNr1,1082,PrMod4,TSys32,AB-2CD-2,30.11.2023,01:11:26,angel_to_wide,Tolerance_violence,00:01:38,00:01:38,0.0
MatNr1,1083,PrMod3,TSys32,AB-2CD-5,30.11.2023,01:30:15,OK,OK,00:01:59,00:01:59,0.0
MatNr3,1084,PrMod2,TSys54,AB-3CD-0,30.11.2023,01:57:54,System_issue,System_error,00:02:22,00:02:22,0.0
MatNr1,1085,PrMod2,TSys27,AB-3CD-0,30.11.2023,02:19:28,angel_to_wide,Tolerance_violence,00:01:32,00:01:32,0.0
MatNr2,1086,PrMod1,TSys27,AB-3CD-4,30.11.2023,02:42:20,OK,OK,00:01:39,00:01:39,0.0
MatNr3,1087,PrMod2,TSys32,AB-2CD-0,30.11.2023,03:05:23,OK,OK,00:01:26,00:01:26,0.0
MatNr2,1088,PrMod1,TSys54,AB-2CD-5,30.11.2023,03:27:24,OK,OK,00:01:56,00:01:56,0.0
MatNr1,1089,PrMod3,TSys54,AB-3CD-9,30.11.2023,03:51:18,OK,OK,00:02:21,00:02:21,0.0
MatNr3,1090,PrMod3,TSys54,AB-2CD-3,30.11.2023,04:16:56,OK,OK,00:02:11,00:02:11,-0.0
MatNr1,1091,PrMod3,TSys27,AB-3CD-4,30.11.2023,04:40:26,System_issue,System_error,00:02:22,00:02:22,0.0
MatNr2,1092,PrMod2,TSys27,AB-2CD-9,30.11.2023,05:04:39,Angel_to_low,Tolerance_violence,00:02:08,00:02:08,0.0
MatNr2,1093,PrMod4,TSys32,AB-3CD-7,30.11.2023,05:29:45,OK,OK,00:02:04,00:02:04,0.0
MatNr2,1094,PrMod2,TSys32,AB-2CD-7,30.11.2023,05:51:52,OK,OK,00:02:14,00:02:14,0.0
MatNr3,1095,PrMod4,TSys54,AB-3CD-4,30.11.2023,06:14:24,angel_to_wide,Tolerance_violence,00:02:01,00:02:01,0.0
MatNr1,1096,PrMod4,TSys32,AB-1CD-0,30.11.2023,06:37:57,OK,OK,00:01:26,00:01:26,0.0
MatNr1,1097,PrMod4,TSys54,AB-1CD-9,30.11.2023,07:00:08,OK,OK,00:01:46,00:01:46,0.0
MatNr3,1098,PrMod3,TSys27,AB-3CD-4,30.11.2023,07:20:41,OK,OK,00:01:50,00:01:50,-0.0
MatNr2,1099,PrMod4,TSys32,AB-3CD-8,30.11.2023,07:45:02,OK,OK,00:01:36,00:01:36,0.0
MatNr2,1100,PrMod1,TSys27,AB-3CD-1,30.11.2023,08:06:11,OK,OK,00:02:26,00:02:26,0.0
MatNr2,1101,PrMod4,TSys32,AB-3CD-7,30.11.2023,08:31:23,Angel_to_low,Tolerance_violence,00:02:24,00:02:24,0.0
MatNr1,1102,PrMod2,TSys54,AB-3CD-3,30.11.2023,08:58:24,System_issue,System_error,00:01:52,00:01:52,0.0
MatNr2,1103,PrMod4,TSys32,AB-3CD-8,30.11.2023,09:21:42,OK,OK,00:01:10,00:01:10,-0.0
