MaterialNr,SerialNr,CheckMode,TestSystem,Description,Date,Time,Error,ErrorCat,Duration,Duration.1,col_11,col_12,col_13
MatNr1,1001,PrMod4,TSys54,AB-1CD-5,31.08.2024,21:28:13,OK,OK,00:01:36,00:01:36,81.0,59.0,33.0
MatNr2,1002,PrMod2,TSys54,AB-2CD-1,31.08.2024,21:50:16,OK,OK,00:01:36,00:01:36,0.2,96.0,27.0
MatNr3,1003,PrMod2,TSys32,AB-3CD-0,31.08.2024,22:15:20,OK,OK,00:02:13,00:02:13,98.0,0.0,23.0
MatNr1,1004,PrMod4,TSys27,AB-1CD-1,31.08.2024,22:37:43,OK,OK,00:02:19,00:02:19,-236.82,98.0,38.0
MatNr1,1005,PrMod2,TSys32,AB-1CD-3,31.08.2024,22:57:49,OK,OK,00:02:08,00:02:08,84.0,84.0,7.0
MatNr3,1006,PrMod1,TSys32,AB-3CD-6,31.08.2024,23:18:05,OK,OK,00:02:19,00:02:19,99.0,21.0,36.0
MatNr3,1007,PrMod3,TSys54,AB-3CD-7,31.08.2024,23:40:29,OK,OK,00:01:47,00:01:47,83.0,-132.62,30.0
MatNr1,1008,PrMod2,TSys54,AB-1CD-6,01.09.2024,00:03:57,OK,OK,00:02:04,00:02:04,0.9,90.0,5.0
MatNr1,1008,PrMod2,TSys54,AB-1CD-6,01.09.2024,00:08:33,OK,OK,00:02:09,00:02:09,0.9,90.0,5.0
MatNr3,1009,PrMod3,TSys32,AB-3CD-9,01.09.2024,00:31:28,OK,OK,00:03:01,00:03:01,0.9,5.0,26.0
MatNr1,1010,PrMod1,TSys54,AB-1CD-4,01.09.2024,00:55:57,OK,OK,00:02:05,00:02:05,91.0,95.0,22.0
MatNr3,1011,PrMod2,TSys27,AB-3CD-3,01.09.2024,01:18:46,OK,OK,00:01:45,00:01:45,1.5000000000000002,2.0,13.0
MatNr2,1012,PrMod1,TSys54,AB-2CD-6,01.09.2024,01:41:46,OK,OK,00:02:00,00:02:00,1.0,3.0,35.0
MatNr3,1013,PrMod2,TSys54,AB-3CD-0,01.09.2024,02:01:41,OK,OK,00:02:06,00:02:06,1.1,90.0,22.0
MatNr3,1014,PrMod2,TSys32,AB-3CD-4,01.09.2024,02:25:48,OK,OK,00:01:54,00:01:54,80.0,-1.26,32.0
MatNr3,1015,PrMod2,TSys27,AB-3CD-2,01.09.2024,02:46:50,OK,OK,00:02:18,00:02:18,85.0,61.0,6.0
MatNr3,1016,PrMod3,TSys27,AB-3CD-8,01.09.2024,03:13:30,OK,OK,00:01:42,00:01:42,0.8,89.0,25.0
MatNr1,1017,PrMod2,TSys32,AB-1CD-3,01.09.2024,03:35:42,OK,OK,00:01:55,00:01:55,0.8,99.0,5.0
MatNr3,1018,PrMod3,TSys32,AB-3CD-5,01.09.2024,03:58:21,OK,OK,00:02:21,00:02:21,0.30000000000000004,4.0,18.0
MatNr2,1019,PrMod4,TSys32,AB-2CD-9,01.09.2024,04:21:22,OK,OK,00:01:29,00:01:29,86.0,7.0,10.0
MatNr1,1020,PrMod4,TSys27,AB-1CD-4,01.09.2024,04:45:52,OK,OK,00:01:59,00:01:59,87.0,47.0,35.0
MatNr1,1021,PrMod1,TSys54,AB-1CD-9,01.09.2024,05:09:59,OK,OK,00:01:50,00:01:50,-0.26,23.0,16.0
MatNr2,1022,PrMod4,TSys27,AB-2CD-1,01.09.2024,05:31:36,OK,OK,00:02:14,00:02:14,-0.5,73.0,33.0
MatNr1,1023,PrMod2,TSys27,AB-1CD-6,01.09.2024,05:54:08,OK,OK,00:02:19,00:02:19,1.3000000000000005,40.0,21.0
MatNr2,1024,PrMod4,TSys32,AB-2CD-4,01.09.2024,06:16:51,OK,OK,00:01:46,00:01:46,1.0,50.0,12.0
MatNr3,1025,PrMod3,TSys54,AB-3CD-6,01.09.2024,06:42:02,OK,OK,00:02:02,00:02:02,0.8,72.0,13.0
MatNr3,1026,PrMod4,TSys27,AB-3CD-2,01.09.2024,07:06:19,OK,OK,00:02:06,00:02:06,87.0,82.0,17.0
MatNr1,1027,PrMod1,TSys27,AB-1CD-3,01.09.2024,07:30:21,OK,OK,00:02:19,00:02:19,1.1,35.0,36.0
MatNr3,1028,PrMod4,TSys32,AB-3CD-3,01.09.2024,07:53:18,OK,OK,00:02:06,00:02:06,90.0,83.0,6.0
MatNr3,1029,PrMod4,TSys54,AB-3CD-0,01.09.2024,08:22:32,OK,OK,00:02:26,00:02:26,97.0,87.0,16.0
MatNr3,1030,PrMod1,TSys54,AB-3CD-2,01.09.2024,08:48:57,OK,OK,00:01:48,00:01:48,0.8,11.0,31.0
MatNr2,1031,PrMod1,TSys54,AB-2CD-4,01.09.2024,09:13:38,OK,OK,00:02:08,00:02:08,0.2,58.0,25.0
MatNr1,1032,PrMod2,TSys32,AB-1CD-5,01.09.2024,09:36:51,OK,OK,00:01:51,00:01:51,98.0,24.0,26.0
MatNr3,1033,PrMod3,TSys54,AB-3CD-5,01.09.2024,10:01:40,OK,OK,00:02:20,00:02:20,97.0,28.0,23.0
MatNr3,1034,PrMod4,TSys27,AB-3CD-7,01.09.2024,10:25:11,OK,OK,00:02:18,00:02:18,1.2000000000000002,25.0,27.0
MatNr2,1035,PrMod3,TSys54,AB-2CD-8,01.09.2024,10:47:54,OK,OK,00:02:06,00:02:06,0.30000000000000004,85.0,28.0
MatNr3,1036,PrMod2,TSys32,AB-3CD-0,01.09.2024,11:11:39,OK,OK,00:02:24,00:02:24,1.5000000000000002,88.0,11.0
MatNr3,1037,PrMod2,TSys32,AB-3CD-7,01.09.2024,11:33:32,OK,OK,00:02:17,00:02:17,96.0,50.0,34.0
MatNr3,1038,PrMod4,TSys32,AB-3CD-1,01.09.2024,11:55:58,Angel_to_low,Tolerance_violence,00:02:02,00:02:02,1.5000000000000002,28.0,15.0
MatNr1,1039,PrMod4,TSys32,AB-1CD-1,01.09.2024,12:17:40,OK,OK,00:02:10,00:02:10,92.0,50.0,20.0
MatNr2,1040,PrMod4,TSys27,AB-2CD-4,01.09.2024,12:45:26,OK,OK,00:02:13,00:02:13,1.4,94.0,29.0
MatNr2,1041,PrMod1,TSys27,AB-2CD-4,01.09.2024,13:08:45,OK,OK,00:02:16,00:02:16,85.0,12.0,24.0
MatNr1,1042,PrMod4,TSys54,AB-1CD-5,01.09.2024,13:28:55,temperature_to_high,Tolerance_violence,00:02:24,00:02:24,0.1,9.0,39.0
MatNr2,1043,PrMod3,TSys27,AB-2CD-6,01.09.2024,13:52:35,OK,OK,00:02:04,00:02:04,86.0,15.0,27.0
MatNr3,1044,PrMod1,TSys32,AB-3CD-1,01.09.2024,14:15:58,OK,OK,00:02:32,00:02:32,0.4,67.0,20.0
MatNr2,1045,PrMod2,TSys27,AB-2CD-4,01.09.2024,14:42:31,OK,OK,00:01:43,00:01:43,86.0,65.0,29.0
MatNr3,1046,PrMod3,TSys32,AB-3CD-6,01.09.2024,15:05:53,OK,OK,00:02:03,00:02:03,97.0,18.0,20.0
MatNr1,1047,PrMod3,TSys27,AB-1CD-0,01.09.2024,15:26:31,OK,OK,00:02:01,00:02:01,91.0,64.0,30.0
MatNr2,1048,PrMod1,TSys27,AB-2CD-9,01.09.2024,15:47:47,OK,OK,00:02:18,00:02:18,89.0,76.0,30.0
MatNr2,1049,PrMod1,TSys27,AB-2CD-2,01.09.2024,16:10:20,OK,OK,00:01:26,00:01:26,98.0,93.0,30.0
MatNr3,1050,PrMod1,TSys32,AB-3CD-3,01.09.2024,16:33:33,OK,OK,00:01:58,00:01:58,94.0,40.0,32.0
MatNr1,1051,PrMod3,TSys32,AB-1CD-6,01.09.2024,16:55:20,OK,OK,00:01:49,00:01:49,1.1,67.0,31.0
MatNr1,1052,PrMod2,TSys27,AB-1CD-7,01.09.2024,17:20:07,OK,OK,00:02:04,00:02:04,89.0,18.0,35.0
MatNr2,1053,PrMod2,TSys27,AB-2CD-7,01.09.2024,17:42:11,OK,OK,00:02:18,00:02:18,1.4,15.0,25.0
MatNr2,1054,PrMod1,TSys54,AB-2CD-4,01.09.2024,18:08:53,OK,OK,00:01:45,00:01:45,0.5,79.0,35.0
MatNr2,1055,PrMod3,TSys54,AB-2CD-9,01.09.2024,18:31:32,OK,OK,00:02:14,00:02:14,82.0,9.0,21.0
MatNr3,1056,PrMod4,TSys54,AB-3CD-0,01.09.2024,18:56:57,OK,OK,00:02:03,00:02:03,85.0,23.0,10.0
MatNr3,1057,PrMod4,TSys27,AB-3CD-3,01.09.2024,19:19:46,OK,OK,00:01:31,00:01:31,1.3000000000000005,23.0,24.0
MatNr3,1058,PrMod4,TSys54,AB-3CD-7,01.09.2024,19:40:10,OK,OK,00:02:08,00:02:08,0.4,15.0,23.0
MatNr3,1059,PrMod2,TSys54,AB-3CD-0,01.09.2024,20:03:40,OK,OK,00:01:51,00:01:51,0.39,94.0,28.0
MatNr2,1060,PrMod4,TSys32,AB-2CD-7,01.09.2024,20:25:04,OK,OK,00:01:43,00:01:43,0.8,98.0,31.0
MatNr1,1061,PrMod2,TSys54,AB-1CD-0,01.09.2024,20:46:34,OK,OK,00:01:38,00:01:38,81.0,1.0,6.0
MatNr3,1062,PrMod2,TSys54,AB-3CD-0,01.09.2024,21:07:37,OK,OK,00:02:06,00:02:06,84.0,4.0,5.0
MatNr3,1063,PrMod2,TSys54,AB-3CD-3,01.09.2024,21:31:35,OK,OK,00:01:33,00:01:33,92.0,15.0,25.0
MatNr3,1063,PrMod2,TSys54,AB-3CD-3,01.09.2024,21:36:52,OK,OK,00:01:43,00:01:43,92.0,15.0,25.0
MatNr3,1064,PrMod2,TSys27,AB-3CD-2,01.09.2024,22:01:06,OK,OK,00:01:39,00:01:39,82.0,79.0,13.0
MatNr2,1065,PrMod2,TSys27,AB-2CD-1,01.09.2024,22:24:37,OK,OK,00:01:31,00:01:31,0.1,-198.7,12.0
MatNr2,1066,PrMod1,TSys27,AB-2CD-2,01.09.2024,22:47:15,OK,OK,00:02:18,00:02:18,86.0,98.0,5.0
MatNr3,1067,PrMod2,TSys32,AB-3CD-2,01.09.2024,23:12:21,OK,OK,00:01:49,00:01:49,92.0,7.0,9.0
MatNr2,1068,PrMod1,TSys27,AB-2CD-6,01.09.2024,23:34:06,OK,OK,00:01:34,00:01:34,96.0,43.0,16.0
MatNr1,1069,PrMod4,TSys54,AB-1CD-8,01.09.2024,23:54:53,OK,OK,00:02:11,00:02:11,0.8,54.0,8.0
MatNr1,1069,PrMod4,TSys54,AB-1CD-8,02.09.2024,00:01:33,OK,OK,00:02:03,00:02:03,0.8,54.0,8.0
MatNr3,1070,PrMod2,TSys27,AB-3CD-8,02.09.2024,00:23:57,OK,OK,00:01:46,00:01:46,0.59,32.0,23.0
MatNr1,1071,PrMod1,TSys27,AB-1CD-7,02.09.2024,00:47:48,OK,OK,00:02:18,00:02:18,0.9,88.0,16.0
MatNr1,1072,PrMod1,TSys27,AB-1CD-0,02.09.2024,01:13:40,OK,OK,00:02:09,00:02:09,91.0,22.0,15.0
MatNr1,1073,PrMod1,TSys54,AB-1CD-0,02.09.2024,01:36:23,OK,OK,00:01:29,00:01:29,0.5,44.0,28.0
MatNr2,1074,PrMod4,TSys54,AB-2CD-8,02.09.2024,01:57:22,OK,OK,00:01:37,00:01:37,81.0,60.0,32.0
MatNr3,1075,PrMod1,TSys27,AB-3CD-5,02.09.2024,02:19:56,OK,OK,00:02:14,00:02:14,0.6,62.0,21.0
MatNr1,1076,PrMod2,TSys54,AB-1CD-5,02.09.2024,02:43:11,Angel_to_low,Tolerance_violence,00:02:06,00:02:06,80.0,3.0,24.0
MatNr3,1077,PrMod4,TSys32,AB-3CD-5,02.09.2024,03:05:24,OK,OK,00:02:27,00:02:27,0.7000000000000001,30.0,-33.67
MatNr3,1078,PrMod4,TSys54,AB-3CD-2,02.09.2024,03:28:38,OK,OK,00:01:39,00:01:39,0.1,83.0,13.0
MatNr1,1079,PrMod1,TSys27,AB-1CD-7,02.09.2024,03:50:51,OK,OK,00:01:52,00:01:52,0.4,67.0,35.0
MatNr3,1080,PrMod4,TSys54,AB-3CD-7,02.09.2024,04:16:46,OK,OK,00:02:34,00:02:34,0.2,27.0,9.0
MatNr3,1081,PrMod3,TSys54,AB-3CD-6,02.09.2024,04:40:16,OK,OK,00:01:44,00:01:44,0.6,-176.76,17.0
MatNr3,1082,PrMod1,TSys27,AB-3CD-3,02.09.2024,05:03:15,OK,OK,00:01:44,00:01:44,0.8,9.0,29.0
MatNr2,1083,PrMod2,TSys27,AB-2CD-7,02.09.2024,05:27:42,OK,OK,00:02:02,00:02:02,1.5000000000000002,62.0,37.0
MatNr2,1084,PrMod4,TSys32,AB-2CD-3,02.09.2024,05:52:26,OK,OK,00:02:28,00:02:28,87.0,11.0,18.0
MatNr3,1085,PrMod4,TSys27,AB-3CD-6,02.09.2024,06:15:32,OK,OK,00:02:02,00:02:02,85.0,29.0,38.0
MatNr1,1086,PrMod3,TSys27,AB-1CD-9,02.09.2024,06:41:57,OK,OK,00:02:27,00:02:27,84.0,76.0,30.0
MatNr3,1087,PrMod1,TSys32,AB-3CD-9,02.09.2024,07:05:14,OK,OK,00:01:07,00:01:07,0.1,20.0,25.0
