MaterialNr,SerialNr,CheckMode,TestSystem,Description,Date,Time,Error,ErrorCat,Duration,Duration.1
MatNr1,1001,PrMod4,TSys32,AB-2CD-8,31.08.2024,21:35:50,OK,OK,00:02:13,00:02:13
MatNr2,1002,PrMod4,TSys54,AB-3CD-7,31.08.2024,21:59:47,OK,OK,00:01:42,00:01:42
MatNr3,1003,PrMod1,TSys32,AB-3CD-2,31.08.2024,22:25:47,OK,OK,00:02:05,00:02:05
MatNr1,1004,PrMod2,TSys27,AB-3CD-4,31.08.2024,22:46:16,OK,OK,00:01:51,00:01:51
MatNr1,1005,PrMod4,TSys54,AB-2CD-7,31.08.2024,23:06:53,OK,OK,00:02:24,00:02:24
MatNr3,1006,PrMod3,TSys27,AB-1CD-8,31.08.2024,23:27:18,OK,OK,00:02:08,00:02:08
MatNr3,1007,PrMod3,TSys54,AB-2CD-0,31.08.2024,23:50:33,OK,OK,00:01:46,00:01:46
MatNr1,1008,PrMod4,TSys27,AB-2CD-3,01.09.2024,00:17:29,Angel_to_low,Tolerance_violence,00:01:42,00:01:42
MatNr3,1009,PrMod2,TSys32,AB-1CD-6,01.09.2024,00:42:37,OK,OK,00:02:28,00:02:28
MatNr1,1010,PrMod2,TSys27,AB-3CD-3,01.09.2024,01:07:16,angel_to_wide,Tolerance_violence,00:01:59,00:01:59
MatNr3,1011,PrMod2,TSys32,AB-2CD-9,01.09.2024,01:29:30,OK,OK,00:01:32,00:01:32
MatNr2,1012,PrMod4,TSys32,AB-1CD-0,01.09.2024,01:50:05,OK,OK,00:01:09,00:01:09
MatNr3,1013,PrMod3,TSys54,AB-3CD-0,01.09.2024,02:11:45,System_issue,System_error,00:02:21,00:02:21
MatNr3,1014,PrMod2,TSys32,AB-3CD-1,01.09.2024,02:34:41,OK,OK,00:02:02,00:02:02
MatNr3,1015,PrMod2,TSys32,AB-2CD-2,01.09.2024,02:57:46,OK,OK,00:01:46,00:01:46
MatNr3,1016,PrMod2,TSys54,AB-2CD-4,01.09.2024,03:22:51,OK,OK,00:01:44,00:01:44
MatNr1,1017,PrMod1,TSys32,AB-2CD-1,01.09.2024,03:44:47,OK,OK,00:01:28,00:01:28
MatNr3,1018,PrMod2,TSys32,AB-2CD-3,01.09.2024,04:08:18,Angel_to_low,Tolerance_violence,00:01:45,00:01:45
MatNr2,1019,PrMod1,TSys27,AB-1CD-4,01.09.2024,04:31:42,OK,OK,00:01:41,00:01:41
MatNr1,1020,PrMod4,TSys54,AB-2CD-5,01.09.2024,04:57:13,OK,OK,00:01:41,00:01:41
MatNr1,1021,PrMod4,TSys54,AB-2CD-1,01.09.2024,05:19:00,OK,OK,00:02:19,00:02:19
MatNr2,1022,PrMod3,TSys27,AB-2CD-4,01.09.2024,05:41:15,OK,OK,00:02:03,00:02:03
MatNr1,1023,PrMod2,TSys27,AB-3CD-7,01.09.2024,06:04:41,OK,OK,00:01:49,00:01:49
MatNr2,1024,PrMod1,TSys54,AB-2CD-9,01.09.2024,06:28:04,OK,OK,00:01:43,00:01:43
MatNr3,1025,PrMod3,TSys27,AB-3CD-1,01.09.2024,06:51:33,OK,OK,00:02:41,00:02:41
MatNr3,1026,PrMod2,TSys27,AB-2CD-8,01.09.2024,07:16:45,OK,OK,00:01:33,00:01:33
MatNr1,1027,PrMod2,TSys32,AB-1CD-3,01.09.2024,07:40:51,OK,OK,00:01:37,00:01:37
MatNr3,1028,PrMod3,TSys54,AB-1CD-0,01.09.2024,08:03:27,System_issue,System_error,00:02:10,00:02:10
MatNr3,1028,PrMod3,TSys54,AB-1CD-0,01.09.2024,08:08:40,System_issue,System_error,00:01:45,00:01:45
MatNr3,1029,PrMod2,TSys54,AB-3CD-8,01.09.2024,08:34:40,OK,OK,00:02:12,00:02:12
MatNr3,1030,PrMod1,TSys27,AB-3CD-9,01.09.2024,08:59:25,OK,OK,00:02:29,00:02:29
MatNr2,1031,PrMod2,TSys27,AB-2CD-7,01.09.2024,09:22:24,OK,OK,00:01:43,00:01:43
MatNr1,1032,PrMod2,TSys32,AB-1CD-5,01.09.2024,09:47:22,OK,OK,00:01:56,00:01:56
MatNr3,1033,PrMod1,TSys32,AB-1CD-9,01.09.2024,10:11:35,OK,OK,00:01:37,00:01:37
MatNr3,1034,PrMod4,TSys27,AB-3CD-2,01.09.2024,10:34:13,OK,OK,00:02:05,00:02:05
MatNr2,1035,PrMod2,TSys32,AB-2CD-1,01.09.2024,10:57:40,OK,OK,00:02:02,00:02:02
MatNr3,1036,PrMod1,TSys32,AB-1CD-5,01.09.2024,11:21:54,OK,OK,00:02:09,00:02:09
MatNr3,1037,PrMod4,TSys54,AB-2CD-1,01.09.2024,11:42:19,OK,OK,00:02:27,00:02:27
MatNr3,1038,PrMod2,TSys32,AB-3CD-0,01.09.2024,12:03:55,Angel_to_low,Tolerance_violence,00:01:52,00:01:52
MatNr1,1039,PrMod3,TSys54,AB-1CD-3,01.09.2024,12:33:42,angel_to_wide,Tolerance_violence,00:01:41,00:01:41
MatNr2,1040,PrMod1,TSys32,AB-3CD-2,01.09.2024,12:55:01,OK,OK,00:02:08,00:02:08
MatNr2,1041,PrMod3,TSys32,AB-3CD-7,01.09.2024,13:18:05,OK,OK,00:02:07,00:02:07
MatNr1,1042,PrMod3,TSys32,AB-3CD-4,01.09.2024,13:39:55,temperature_to_high,Tolerance_violence,00:01:47,00:01:47
MatNr2,1043,PrMod4,TSys27,AB-2CD-1,01.09.2024,14:02:31,OK,OK,00:02:15,00:02:15
MatNr3,1044,PrMod1,TSys54,AB-3CD-6,01.09.2024,14:28:42,OK,OK,00:02:20,00:02:20
MatNr2,1045,PrMod1,TSys54,AB-2CD-0,01.09.2024,14:51:36,OK,OK,00:01:52,00:01:52
MatNr3,1046,PrMod2,TSys27,AB-2CD-6,01.09.2024,15:14:23,OK,OK,00:02:15,00:02:15
MatNr1,1047,PrMod2,TSys27,AB-1CD-3,01.09.2024,15:35:44,System_issue,System_error,00:01:46,00:01:46
MatNr2,1048,PrMod4,TSys32,AB-3CD-2,01.09.2024,15:59:04,OK,OK,00:01:45,00:01:45
MatNr2,1049,PrMod4,TSys32,AB-3CD-8,01.09.2024,16:18:52,OK,OK,00:01:59,00:01:59
MatNr3,1050,PrMod3,TSys27,AB-1CD-7,01.09.2024,16:43:53,OK,OK,00:02:05,00:02:05
MatNr1,1051,PrMod1,TSys54,AB-1CD-0,01.09.2024,17:05:35,OK,OK,00:02:07,00:02:07
MatNr1,1052,PrMod4,TSys54,AB-1CD-5,01.09.2024,17:30:01,OK,OK,00:01:50,00:01:50
